Hash function: SHA1
Alphabet:abcdefghijklmnopqrstuvwxyz0123456789,;:$.
Alphabet length:41
Size:5
Width:10000
Height:20000
Nb clear texts:115856201
Content:
38459692 8916
63114057 10444
26844251 10444
55506312 10444
44505013 10444
26237 10444
14047515 10444
17327133 28721
31992787 28721
82414013 30978
65847152 30978
71389574 30978
38940274 35188
112171052 49660
70125816 61899
92363742 76404
55600724 82668
23952028 91681
20975073 100219
109855211 100219
32010619 108512
94712492 108512
6883893 108512
70362637 108512
75997687 108512
90311448 128375
105734514 149574
39015455 149574
3903893 149574
91402376 149574
115678718 149574
88953549 149574
110423298 170896
47799619 174721
18112993 188928
28537295 204382
43427900 234650
10929107 236751
21085938 247266
48920177 247266
48414272 250876
43200040 277073
83352265 282632
42077432 282632
58542176 285928
6858766 285928
34009978 285928
95983649 285928
25527749 285928
48288517 288495
35541187 292347
112260058 294693
58594136 301225
14304709 301225
111343216 311153
48765028 311153
2663859 341849
69553275 387628
110121838 396342
58144318 396342
71933041 420865
13608117 432744
50376784 432744
72173166 432744
16636188 432817
88073504 432817
12001689 450983
7166300 450983
47512234 457449
46765121 457449
108027989 457449
83980852 459743
56082563 479695
19447981 484137
98330702 484137
57164377 484137
18656061 484137
72574361 486281
1232579 487104
14688589 487104
85869909 487104
54236774 487104
105727884 495713
77754838 495713
11296333 511112
50493779 512143
11817721 512143
114674651 512143
10130269 512143
114995438 512143
77819180 512143
113066756 540230
72256083 540230
50099291 540230
75214180 569650
88837026 591374
81093454 591374
41473643 591374
99666955 591374
56521112 593517
71352016 598277
71469865 598277
108115474 598277
54336426 598277
35477888 601332
74230745 601332
60904792 612984
7730020 612984
102187436 616894
55925436 619210
107567338 621271
68224632 631679
13117903 634791
6878180 634791
69158215 634791
87771280 660363
93541147 660363
82623416 676881
15160912 685146
69033514 685146
53074686 685146
3877840 688626
48914951 690785
100977689 690785
77530309 696217
110148384 696217
101703689 696217
47171658 720722
22264906 723750
110378607 744990
70651971 748148
53939439 748148
38194880 750629
110305293 758956
87533967 758956
103389387 773180
111552863 796185
78678415 813155
84746990 814856
45423951 822304
746843 823780
94477751 851180
108300736 858946
31392782 863410
70815050 865919
59847479 872962
21949933 882983
95566099 893276
33077236 893276
65953557 893276
89483403 893276
99052995 893276
73150604 895068
